OBJECTID,Class_Name,LACR,LAGI,LAJB,LANO,LANS,LASA,LAVE,MSSH,TXOC,TXSR
1, ,0,96362,376,0,0,0,0,425405,501887,364030
2,Unclassified to Unclassified,0,0,0,0,0,0,0,0,0,0
3,Unclassified to High Intensity Developed,0,0,0,0,0,0,0,0,0,0
4,Unclassified to Medium Intensity Developed,0,0,0,0,0,0,0,0,0,0
5,Unclassified to Low Intensity Developed,0,0,0,0,0,0,0,0,0,0
6,Unclassified to Developed Open Space,0,0,0,0,0,0,0,0,0,0
7,Unclassified to Cultivated,0,0,0,0,0,0,0,0,0,0
8,Unclassified to Pasture/Hay,0,0,0,0,0,0,0,0,0,0
9,Unclassified to Grassland,0,0,0,0,0,0,0,0,0,0
10,Unclassified to Deciduous Forest,0,0,0,0,0,0,0,0,0,0
11,Unclassified to Evergreen Forest,0,0,0,0,0,0,0,0,0,0
12,Unclassified to Mixed Forest,0,0,0,0,0,0,0,0,0,0
13,Unclassified to Scrub/Shrub,0,0,0,0,0,0,0,0,0,0
14,Unclassified to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0
15,Unclassified to Palustrine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0
16,Unclassified to Palustrine Emergent Wetland,0,0,0,0,0,0,0,0,0,0
17,Unclassified to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0
18,Unclassified to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0
19,Unclassified to Estuarine Emergent Wetland,0,0,0,0,0,0,0,0,0,0
20,Unclassified to Unconsolidated Shore,0,0,0,0,0,0,0,0,0,0
21,Unclassified to Bare Land,0,0,0,0,0,0,0,0,0,0
22,Unclassified to Water,0,0,0,0,0,0,0,0,0,0
23,Unclassified to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
24,Unclassified to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
25,Unclassified to Tundra,0,0,0,0,0,0,0,0,0,0
26,Unclassified to Snow/Ice,0,0,0,0,0,0,0,0,0,0
27,High Intensity Developed to Unclassified,0,0,0,0,0,0,0,0,0,0
28,High Intensity Developed to High Intensity Developed,132,1284,172,18853,7274,1070,463,338,0,694
29,High Intensity Developed to Medium Intensity Developed,0,0,0,0,50,0,0,1,0,0
30,High Intensity Developed to Low Intensity Developed,9,0,0,1,3,3,0,0,0,0
31,High Intensity Developed to Developed Open Space,0,0,0,0,0,0,0,0,0,0
32,High Intensity Developed to Cultivated,0,0,0,0,0,0,0,0,0,0
33,High Intensity Developed to Pasture/Hay,0,0,0,0,0,0,0,0,0,0
34,High Intensity Developed to Grassland,0,0,0,5,0,0,0,0,0,0
35,High Intensity Developed to Deciduous Forest,0,0,0,0,0,0,0,0,0,0
36,High Intensity Developed to Evergreen Forest,0,0,0,0,0,0,0,0,0,0
37,High Intensity Developed to Mixed Forest,0,0,0,0,0,0,0,0,0,0
38,High Intensity Developed to Scrub/Shrub,0,0,0,0,0,0,0,0,0,0
39,High Intensity Developed to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0
40,High Intensity Developed to Palustrine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0
41,High Intensity Developed to Palustrine Emergent Wetland,0,0,0,5,0,0,0,0,0,0
42,High Intensity Developed to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0
43,High Intensity Developed to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0
44,High Intensity Developed to Estuarine Emergent Wetland,0,1,0,0,0,0,0,0,0,0
45,High Intensity Developed to Unconsolidated Shore,1,56,0,0,0,0,0,0,0,0
46,High Intensity Developed to Bare Land,2,0,0,33,7,1,0,0,0,0
47,High Intensity Developed to Water,3,6,0,0,38,15,0,0,0,0
48,High Intensity Developed to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
49,High Intensity Developed to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
50,High Intensity Developed to Tundra,0,0,0,0,0,0,0,0,0,0
51,High Intensity Developed to Snow/Ice,0,0,0,0,0,0,0,0,0,0
52,Medium Intensity Developed to Unclassified,0,0,0,0,0,0,0,0,0,0
53,Medium Intensity Developed to High Intensity Developed,10,0,44,691,704,33,14,0,0,171
54,Medium Intensity Developed to Medium Intensity Developed,937,1379,592,25643,20369,2746,1305,675,1,1727
55,Medium Intensity Developed to Low Intensity Developed,39,0,0,8,29,4,0,0,0,2
56,Medium Intensity Developed to Developed Open Space,0,0,0,4,4,0,0,0,0,0
57,Medium Intensity Developed to Cultivated,0,0,0,0,5,0,0,0,0,0
58,Medium Intensity Developed to Pasture/Hay,0,0,0,0,0,0,0,0,0,0
59,Medium Intensity Developed to Grassland,0,0,0,19,0,0,0,0,0,0
60,Medium Intensity Developed to Deciduous Forest,0,0,0,0,0,0,0,0,0,0
61,Medium Intensity Developed to Evergreen Forest,0,0,0,0,0,0,0,0,0,0
62,Medium Intensity Developed to Mixed Forest,0,0,0,0,0,0,0,0,0,0
63,Medium Intensity Developed to Scrub/Shrub,0,0,0,0,1,0,0,0,0,0
64,Medium Intensity Developed to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0
65,Medium Intensity Developed to Palustrine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0
66,Medium Intensity Developed to Palustrine Emergent Wetland,0,0,0,11,14,0,0,0,0,0
67,Medium Intensity Developed to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0
68,Medium Intensity Developed to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0
69,Medium Intensity Developed to Estuarine Emergent Wetland,0,0,0,0,62,0,0,0,0,0
70,Medium Intensity Developed to Unconsolidated Shore,1,21,0,0,1,0,0,0,0,0
71,Medium Intensity Developed to Bare Land,2,0,0,61,36,1,0,0,0,9
72,Medium Intensity Developed to Water,3,0,0,0,73,42,0,0,0,1
73,Medium Intensity Developed to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
74,Medium Intensity Developed to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
75,Medium Intensity Developed to Tundra,0,0,0,0,0,0,0,0,0,0
76,Medium Intensity Developed to Snow/Ice,0,0,0,0,0,0,0,0,0,0
77,Low Intensity Developed to Unclassified,0,0,0,0,0,0,0,0,0,0
78,Low Intensity Developed to High Intensity Developed,14,0,35,1013,533,24,10,0,0,175
79,Low Intensity Developed to Medium Intensity Developed,20,0,48,2089,1331,25,24,8,0,65
80,Low Intensity Developed to Low Intensity Developed,6954,2837,2677,53680,42461,4813,7905,3137,3,5022
81,Low Intensity Developed to Developed Open Space,0,0,0,2,15,0,0,0,0,0
82,Low Intensity Developed to Cultivated,0,0,0,0,0,0,0,0,0,0
83,Low Intensity Developed to Pasture/Hay,0,0,0,0,0,0,0,0,0,0
84,Low Intensity Developed to Grassland,0,0,0,119,11,0,0,0,0,0
85,Low Intensity Developed to Deciduous Forest,0,0,0,0,0,0,0,0,0,0
86,Low Intensity Developed to Evergreen Forest,0,0,0,0,2,0,0,0,0,0
87,Low Intensity Developed to Mixed Forest,0,0,0,0,0,0,0,0,0,0
88,Low Intensity Developed to Scrub/Shrub,0,0,0,11,4,0,0,0,0,0
89,Low Intensity Developed to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0
90,Low Intensity Developed to Palustrine Scrub/Shrub Wetland,0,0,0,0,2,0,0,0,0,0
91,Low Intensity Developed to Palustrine Emergent Wetland,0,0,0,27,4,0,0,0,0,0
92,Low Intensity Developed to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0
93,Low Intensity Developed to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0
94,Low Intensity Developed to Estuarine Emergent Wetland,0,3,0,0,41,0,0,0,0,0
95,Low Intensity Developed to Unconsolidated Shore,17,70,0,0,1,0,0,0,0,0
96,Low Intensity Developed to Bare Land,14,0,0,684,22,0,0,4,0,12
97,Low Intensity Developed to Water,0,8,0,0,34,2,0,0,0,25
98,Low Intensity Developed to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
99,Low Intensity Developed to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
100,Low Intensity Developed to Tundra,0,0,0,0,0,0,0,0,0,0
101,Low Intensity Developed to Snow/Ice,0,0,0,0,0,0,0,0,0,0
102,Developed Open Space to Unclassified,0,0,0,0,0,0,0,0,0,0
103,Developed Open Space to High Intensity Developed,1,0,0,193,337,2,0,0,0,54
104,Developed Open Space to Medium Intensity Developed,0,0,5,145,678,1,0,0,0,0
105,Developed Open Space to Low Intensity Developed,1,0,5,129,570,2,0,3,0,0
106,Developed Open Space to Developed Open Space,2,368,131,6872,17788,138,2998,1545,0,123
107,Developed Open Space to Cultivated,0,0,0,0,0,0,0,0,0,0
108,Developed Open Space to Pasture/Hay,0,0,0,0,0,0,0,0,0,0
109,Developed Open Space to Grassland,0,0,0,12,21,0,0,2,0,0
110,Developed Open Space to Deciduous Forest,0,0,0,0,0,0,0,0,0,0
111,Developed Open Space to Evergreen Forest,0,0,0,0,1,0,0,0,0,0
112,Developed Open Space to Mixed Forest,0,0,0,0,0,0,0,0,0,0
113,Developed Open Space to Scrub/Shrub,0,0,0,0,26,0,0,4,0,0
114,Developed Open Space to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0
115,Developed Open Space to Palustrine Scrub/Shrub Wetland,0,0,0,25,0,0,0,0,0,0
116,Developed Open Space to Palustrine Emergent Wetland,0,0,0,9,4,0,0,0,0,0
117,Developed Open Space to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0
118,Developed Open Space to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0
119,Developed Open Space to Estuarine Emergent Wetland,0,0,0,0,27,0,0,0,0,0
120,Developed Open Space to Unconsolidated Shore,0,0,0,0,0,0,0,0,0,0
121,Developed Open Space to Bare Land,0,10,0,672,43,2,0,2,0,1
122,Developed Open Space to Water,0,0,0,4,49,0,0,0,0,0
123,Developed Open Space to Palustrine Aquatic Bed,0,0,0,2,0,0,0,0,0,0
124,Developed Open Space to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
125,Developed Open Space to Tundra,0,0,0,0,0,0,0,0,0,0
126,Developed Open Space to Snow/Ice,0,0,0,0,0,0,0,0,0,0
127,Cultivated to Unclassified,0,0,0,0,0,0,0,0,0,0
128,Cultivated to High Intensity Developed,0,0,1,0,0,0,0,0,0,0
129,Cultivated to Medium Intensity Developed,0,0,7,2,0,0,0,0,0,0
130,Cultivated to Low Intensity Developed,0,0,12,1,1,0,0,0,0,0
131,Cultivated to Developed Open Space,0,0,0,0,1,0,0,1,0,0
132,Cultivated to Cultivated,88,6,6249,2804,419,929,844,0,0,492
133,Cultivated to Pasture/Hay,0,0,0,0,0,0,0,0,0,0
134,Cultivated to Grassland,0,0,0,437,3,0,0,0,0,0
135,Cultivated to Deciduous Forest,0,0,0,0,0,0,0,0,0,0
136,Cultivated to Evergreen Forest,0,0,0,0,0,0,0,0,0,0
137,Cultivated to Mixed Forest,0,0,0,0,0,0,0,0,0,0
138,Cultivated to Scrub/Shrub,0,0,1,51,1,0,0,0,0,0
139,Cultivated to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0
140,Cultivated to Palustrine Scrub/Shrub Wetland,0,0,0,47,0,0,0,0,0,0
141,Cultivated to Palustrine Emergent Wetland,0,0,0,146,0,0,0,0,0,0
142,Cultivated to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0
143,Cultivated to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0
144,Cultivated to Estuarine Emergent Wetland,0,10,0,0,39,0,0,0,0,12
145,Cultivated to Unconsolidated Shore,0,6,6,0,0,0,0,0,0,0
146,Cultivated to Bare Land,0,0,1,342,74,0,0,0,0,54
147,Cultivated to Water,0,0,0,0,47,0,0,0,0,8
148,Cultivated to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
149,Cultivated to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
150,Cultivated to Tundra,0,0,0,0,0,0,0,0,0,0
151,Cultivated to Snow/Ice,0,0,0,0,0,0,0,0,0,0
152,Pasture/Hay to Unclassified,0,0,0,0,0,0,0,0,0,0
153,Pasture/Hay to High Intensity Developed,3,0,7,5,40,0,0,0,0,1
154,Pasture/Hay to Medium Intensity Developed,2,0,28,10,16,0,1,4,0,2
155,Pasture/Hay to Low Intensity Developed,24,0,50,17,51,1,1,9,0,2
156,Pasture/Hay to Developed Open Space,10,0,1,3,122,0,0,5,0,0
157,Pasture/Hay to Cultivated,0,0,0,0,0,0,0,0,0,0
158,Pasture/Hay to Pasture/Hay,9859,10,7218,2172,1784,3758,2499,507,0,948
159,Pasture/Hay to Grassland,0,0,11,1,2,0,0,1,0,0
160,Pasture/Hay to Deciduous Forest,0,0,0,0,0,0,0,0,0,0
161,Pasture/Hay to Evergreen Forest,0,0,0,0,0,0,0,0,0,0
162,Pasture/Hay to Mixed Forest,0,0,0,0,0,0,0,0,0,0
163,Pasture/Hay to Scrub/Shrub,0,0,2,26,52,0,0,37,0,6
164,Pasture/Hay to Palustrine Forested Wetland,0,0,0,6,0,0,0,0,0,0
165,Pasture/Hay to Palustrine Scrub/Shrub Wetland,0,0,0,4,195,0,0,0,0,0
166,Pasture/Hay to Palustrine Emergent Wetland,0,0,0,35,7,0,0,0,0,0
167,Pasture/Hay to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0
168,Pasture/Hay to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0
169,Pasture/Hay to Estuarine Emergent Wetland,0,0,0,0,3121,0,0,0,0,60
170,Pasture/Hay to Unconsolidated Shore,21,0,13,0,0,0,0,0,0,1
171,Pasture/Hay to Bare Land,13,0,15,280,1813,0,0,3,0,22
172,Pasture/Hay to Water,8,0,20,1,777,0,1,0,0,46
173,Pasture/Hay to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
174,Pasture/Hay to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
175,Pasture/Hay to Tundra,0,0,0,0,0,0,0,0,0,0
176,Pasture/Hay to Snow/Ice,0,0,0,0,0,0,0,0,0,0
177,Grassland to Unclassified,0,0,0,0,0,0,0,0,0,0
178,Grassland to High Intensity Developed,12,0,8,16,16,18,0,3,0,253
179,Grassland to Medium Intensity Developed,10,0,8,2,53,25,24,8,0,67
180,Grassland to Low Intensity Developed,42,0,10,4,72,73,0,12,0,35
181,Grassland to Developed Open Space,1,0,0,1,100,0,0,8,0,1
182,Grassland to Cultivated,0,0,0,0,0,0,0,0,0,0
183,Grassland to Pasture/Hay,0,0,0,0,0,0,10,0,0,0
184,Grassland to Grassland,6482,647,4714,689,3391,8334,2427,672,0,900
185,Grassland to Deciduous Forest,0,0,0,0,0,0,0,0,0,0
186,Grassland to Evergreen Forest,0,0,0,0,55,0,0,0,0,0
187,Grassland to Mixed Forest,0,0,0,0,0,0,0,0,0,0
188,Grassland to Scrub/Shrub,0,0,80,9,2455,7,78,399,0,0
189,Grassland to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0
190,Grassland to Palustrine Scrub/Shrub Wetland,0,0,0,0,2,0,0,0,0,0
191,Grassland to Palustrine Emergent Wetland,0,0,0,0,4,0,0,0,0,0
192,Grassland to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0
193,Grassland to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,8
194,Grassland to Estuarine Emergent Wetland,0,0,0,0,133,0,0,0,0,0
195,Grassland to Unconsolidated Shore,31,39,0,1,4,31,0,0,0,3
196,Grassland to Bare Land,11,0,11,376,137,103,1,9,0,147
197,Grassland to Water,1,1,9,0,63,212,14,0,0,159
198,Grassland to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
199,Grassland to Estuarine Aquatic Bed,0,0,0,0,0,1,0,0,0,0
200,Grassland to Tundra,0,0,0,0,0,0,0,0,0,0
201,Grassland to Snow/Ice,0,0,0,0,0,0,0,0,0,0
202,Deciduous Forest to Unclassified,0,0,0,0,0,0,0,0,0,0
203,Deciduous Forest to High Intensity Developed,0,0,0,1,0,0,0,0,0,0
204,Deciduous Forest to Medium Intensity Developed,0,0,0,5,0,0,0,0,0,0
205,Deciduous Forest to Low Intensity Developed,2,0,0,3,4,0,0,0,0,0
206,Deciduous Forest to Developed Open Space,0,0,0,0,5,0,0,0,0,0
207,Deciduous Forest to Cultivated,0,0,0,0,0,0,0,0,0,0
208,Deciduous Forest to Pasture/Hay,0,0,0,0,0,0,0,0,0,0
209,Deciduous Forest to Grassland,0,0,0,2,0,0,0,0,0,0
210,Deciduous Forest to Deciduous Forest,142,1,8,307,169,16,570,11,0,10
211,Deciduous Forest to Evergreen Forest,0,0,0,0,0,0,0,0,0,0
212,Deciduous Forest to Mixed Forest,0,0,0,0,0,0,0,0,0,0
213,Deciduous Forest to Scrub/Shrub,0,0,0,0,1,0,0,0,0,0
214,Deciduous Forest to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0
215,Deciduous Forest to Palustrine Scrub/Shrub Wetland,1,0,0,2,2,0,0,0,0,0
216,Deciduous Forest to Palustrine Emergent Wetland,0,0,0,2,2,0,0,0,0,0
217,Deciduous Forest to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0
218,Deciduous Forest to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0
219,Deciduous Forest to Estuarine Emergent Wetland,0,0,0,0,0,0,0,0,0,0
220,Deciduous Forest to Unconsolidated Shore,0,0,0,0,0,0,0,0,0,0
221,Deciduous Forest to Bare Land,0,0,0,0,0,0,0,0,0,0
222,Deciduous Forest to Water,0,0,0,0,0,0,0,0,0,0
223,Deciduous Forest to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
224,Deciduous Forest to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
225,Deciduous Forest to Tundra,0,0,0,0,0,0,0,0,0,0
226,Deciduous Forest to Snow/Ice,0,0,0,0,0,0,0,0,0,0
227,Evergreen Forest to Unclassified,0,0,0,0,0,0,0,0,0,0
228,Evergreen Forest to High Intensity Developed,0,0,0,0,129,0,0,10,0,0
229,Evergreen Forest to Medium Intensity Developed,0,0,0,1,961,0,0,9,0,0
230,Evergreen Forest to Low Intensity Developed,0,0,0,0,2272,0,0,5,0,0
231,Evergreen Forest to Developed Open Space,0,0,0,0,3314,0,0,12,0,0
232,Evergreen Forest to Cultivated,0,0,0,0,0,0,0,0,0,0
233,Evergreen Forest to Pasture/Hay,0,0,0,0,0,0,0,0,0,0
234,Evergreen Forest to Grassland,1,0,1,0,1282,0,0,383,0,0
235,Evergreen Forest to Deciduous Forest,0,0,0,0,0,0,0,0,0,0
236,Evergreen Forest to Evergreen Forest,297,13,42,78,59182,111,17,8050,0,2
237,Evergreen Forest to Mixed Forest,0,0,0,0,0,0,0,0,0,0
238,Evergreen Forest to Scrub/Shrub,0,0,0,0,9891,0,0,3108,0,0
239,Evergreen Forest to Palustrine Forested Wetland,0,0,0,0,0,0,0,1,0,0
240,Evergreen Forest to Palustrine Scrub/Shrub Wetland,2,0,0,1,103,0,0,0,0,0
241,Evergreen Forest to Palustrine Emergent Wetland,0,0,0,0,52,2,0,0,0,0
242,Evergreen Forest to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0
243,Evergreen Forest to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0
244,Evergreen Forest to Estuarine Emergent Wetland,0,0,0,0,14,0,0,0,0,0
245,Evergreen Forest to Unconsolidated Shore,0,1,0,0,0,0,0,0,0,0
246,Evergreen Forest to Bare Land,0,0,0,3,233,0,0,70,0,0
247,Evergreen Forest to Water,39,0,0,0,134,4,0,1,0,0
248,Evergreen Forest to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
249,Evergreen Forest to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
250,Evergreen Forest to Tundra,0,0,0,0,0,0,0,0,0,0
251,Evergreen Forest to Snow/Ice,0,0,0,0,0,0,0,0,0,0
252,Mixed Forest to Unclassified,0,0,0,0,0,0,0,0,0,0
253,Mixed Forest to High Intensity Developed,0,0,0,0,0,0,0,0,0,3
254,Mixed Forest to Medium Intensity Developed,0,0,0,2,1,0,0,0,0,0
255,Mixed Forest to Low Intensity Developed,1,0,0,2,17,0,0,0,0,0
256,Mixed Forest to Developed Open Space,1,0,0,1,9,0,0,0,0,0
257,Mixed Forest to Cultivated,0,0,0,0,0,0,0,0,0,0
258,Mixed Forest to Pasture/Hay,0,0,0,0,0,0,0,0,0,0
259,Mixed Forest to Grassland,0,0,0,0,1,0,0,0,0,0
260,Mixed Forest to Deciduous Forest,0,0,0,0,0,0,0,0,0,0
261,Mixed Forest to Evergreen Forest,0,0,0,0,0,0,0,0,0,0
262,Mixed Forest to Mixed Forest,97,3,6,455,1089,66,37,74,0,17
263,Mixed Forest to Scrub/Shrub,0,0,0,0,6,0,0,1,0,0
264,Mixed Forest to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0
265,Mixed Forest to Palustrine Scrub/Shrub Wetland,2,0,0,4,39,0,0,0,0,0
266,Mixed Forest to Palustrine Emergent Wetland,0,0,0,0,24,0,0,0,0,0
267,Mixed Forest to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0
268,Mixed Forest to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0
269,Mixed Forest to Estuarine Emergent Wetland,0,0,0,0,0,0,0,0,0,0
270,Mixed Forest to Unconsolidated Shore,0,0,0,0,0,0,0,0,0,0
271,Mixed Forest to Bare Land,0,0,0,8,3,0,0,0,0,0
272,Mixed Forest to Water,0,0,0,1,0,1,0,0,0,0
273,Mixed Forest to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
274,Mixed Forest to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
275,Mixed Forest to Tundra,0,0,0,0,0,0,0,0,0,0
276,Mixed Forest to Snow/Ice,0,0,0,0,0,0,0,0,0,0
277,Scrub/Shrub to Unclassified,0,0,0,0,0,0,0,0,0,0
278,Scrub/Shrub to High Intensity Developed,0,0,0,7,106,0,1,34,0,26
279,Scrub/Shrub to Medium Intensity Developed,0,0,0,11,177,1,5,26,0,4
280,Scrub/Shrub to Low Intensity Developed,5,0,0,6,289,8,11,9,0,5
281,Scrub/Shrub to Developed Open Space,0,0,0,0,341,0,3,61,0,0
282,Scrub/Shrub to Cultivated,0,0,0,0,0,0,0,0,0,0
283,Scrub/Shrub to Pasture/Hay,0,0,0,0,0,0,0,0,0,0
284,Scrub/Shrub to Grassland,6,0,0,25,270,162,21,140,0,4
285,Scrub/Shrub to Deciduous Forest,0,0,0,0,0,0,0,5,0,0
286,Scrub/Shrub to Evergreen Forest,0,0,0,0,3854,0,0,1477,0,0
287,Scrub/Shrub to Mixed Forest,0,0,0,0,0,0,0,3,0,0
288,Scrub/Shrub to Scrub/Shrub,1954,84,186,616,20661,996,1327,3633,0,188
289,Scrub/Shrub to Palustrine Forested Wetland,0,0,0,0,427,0,0,0,0,0
290,Scrub/Shrub to Palustrine Scrub/Shrub Wetland,1,0,0,0,7,0,0,0,0,0
291,Scrub/Shrub to Palustrine Emergent Wetland,0,0,0,0,32,2,0,0,0,0
292,Scrub/Shrub to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0
293,Scrub/Shrub to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,44
294,Scrub/Shrub to Estuarine Emergent Wetland,0,0,0,0,39,0,0,0,0,10
295,Scrub/Shrub to Unconsolidated Shore,1,11,0,0,0,2,0,0,0,0
296,Scrub/Shrub to Bare Land,1,0,1,167,149,4,0,38,0,17
297,Scrub/Shrub to Water,118,0,0,8,83,21,1,1,0,7
298,Scrub/Shrub to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
299,Scrub/Shrub to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0
300,Scrub/Shrub to Tundra,0,0,0,0,0,0,0,0,0,0
301,Scrub/Shrub to Snow/Ice,0,0,0,0,0,0,0,0,0,0
302,Palustrine Forested Wetland to Unclassified,0,0,0,0,0,0,0,0,0,0
