OBJECTID,Class_Name,TXAR,TXAY,TXBP,TXCC,TXCF,TXCT,TXFR,TXGA,TXGF,TXHO,TXKW,TXLA,TXMM,TXOC,TXOR,TXPA,TXRO,TXSB,TXSR
1, ,0,0,41642,0,0,2851,0,0,0,0,0,0,0,0,0,0,0,0,15374
2,Unclassified to Unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Unclassified to High Intensity Developed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Unclassified to Medium Intensity Developed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Unclassified to Low Intensity Developed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Unclassified to Developed Open Space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Unclassified to Cultivated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Unclassified to Pasture/Hay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Unclassified to Grassland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Unclassified to Deciduous Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Unclassified to Evergreen Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Unclassified to Mixed Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Unclassified to Scrub/Shrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Unclassified to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Unclassified to Palustrine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Unclassified to Palustrine Emergent Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Unclassified to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Unclassified to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Unclassified to Estuarine Emergent Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Unclassified to Unconsolidated Shore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Unclassified to Bare Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Unclassified to Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Unclassified to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Unclassified to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Unclassified to Tundra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Unclassified to Snow/Ice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,High Intensity Developed to Unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,High Intensity Developed to High Intensity Developed,0,18184,222,8264,12062,2297,12936,17735,1367,20354,3,126,42,5377,338,2775,1633,8,888
29,High Intensity Developed to Medium Intensity Developed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,High Intensity Developed to Low Intensity Developed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,High Intensity Developed to Developed Open Space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,High Intensity Developed to Cultivated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,High Intensity Developed to Pasture/Hay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,High Intensity Developed to Grassland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,High Intensity Developed to Deciduous Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,High Intensity Developed to Evergreen Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,High Intensity Developed to Mixed Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,High Intensity Developed to Scrub/Shrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,High Intensity Developed to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,High Intensity Developed to Palustrine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,High Intensity Developed to Palustrine Emergent Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,High Intensity Developed to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,High Intensity Developed to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,High Intensity Developed to Estuarine Emergent Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,High Intensity Developed to Unconsolidated Shore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,High Intensity Developed to Bare Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,High Intensity Developed to Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,High Intensity Developed to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,High Intensity Developed to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,High Intensity Developed to Tundra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,High Intensity Developed to Snow/Ice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Medium Intensity Developed to Unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Medium Intensity Developed to High Intensity Developed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Medium Intensity Developed to Medium Intensity Developed,186,57549,2371,23319,35971,9014,20930,30479,1664,34069,184,2859,820,11600,1611,10239,7738,379,2640
55,Medium Intensity Developed to Low Intensity Developed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Medium Intensity Developed to Developed Open Space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Medium Intensity Developed to Cultivated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Medium Intensity Developed to Pasture/Hay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Medium Intensity Developed to Grassland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Medium Intensity Developed to Deciduous Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Medium Intensity Developed to Evergreen Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Medium Intensity Developed to Mixed Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Medium Intensity Developed to Scrub/Shrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Medium Intensity Developed to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Medium Intensity Developed to Palustrine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Medium Intensity Developed to Palustrine Emergent Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Medium Intensity Developed to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Medium Intensity Developed to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Medium Intensity Developed to Estuarine Emergent Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Medium Intensity Developed to Unconsolidated Shore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Medium Intensity Developed to Bare Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Medium Intensity Developed to Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Medium Intensity Developed to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Medium Intensity Developed to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Medium Intensity Developed to Tundra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Medium Intensity Developed to Snow/Ice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Low Intensity Developed to Unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Low Intensity Developed to High Intensity Developed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Low Intensity Developed to Medium Intensity Developed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Low Intensity Developed to Low Intensity Developed,1953,49041,9457,17521,14834,6314,25076,14899,3302,38549,278,9168,3753,46895,9297,9616,13446,3444,7791
81,Low Intensity Developed to Developed Open Space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Low Intensity Developed to Cultivated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Low Intensity Developed to Pasture/Hay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Low Intensity Developed to Grassland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Low Intensity Developed to Deciduous Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Low Intensity Developed to Evergreen Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Low Intensity Developed to Mixed Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Low Intensity Developed to Scrub/Shrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Low Intensity Developed to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Low Intensity Developed to Palustrine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Low Intensity Developed to Palustrine Emergent Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Low Intensity Developed to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Low Intensity Developed to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Low Intensity Developed to Estuarine Emergent Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Low Intensity Developed to Unconsolidated Shore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Low Intensity Developed to Bare Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Low Intensity Developed to Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Low Intensity Developed to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Low Intensity Developed to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Low Intensity Developed to Tundra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Low Intensity Developed to Snow/Ice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Developed Open Space to Unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Developed Open Space to High Intensity Developed,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
104,Developed Open Space to Medium Intensity Developed,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0
105,Developed Open Space to Low Intensity Developed,0,0,0,0,12,0,0,0,0,0,0,0,0,184,0,0,0,0,5
106,Developed Open Space to Developed Open Space,199,47790,244,27193,31893,1124,19241,7881,2009,40276,36,3241,1807,20005,4708,6825,11024,1094,126
107,Developed Open Space to Cultivated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Developed Open Space to Pasture/Hay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Developed Open Space to Grassland,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Developed Open Space to Deciduous Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Developed Open Space to Evergreen Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Developed Open Space to Mixed Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Developed Open Space to Scrub/Shrub,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Developed Open Space to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Developed Open Space to Palustrine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Developed Open Space to Palustrine Emergent Wetland,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Developed Open Space to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Developed Open Space to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Developed Open Space to Estuarine Emergent Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Developed Open Space to Unconsolidated Shore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Developed Open Space to Bare Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Developed Open Space to Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Developed Open Space to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Developed Open Space to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Developed Open Space to Tundra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Developed Open Space to Snow/Ice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Cultivated to Unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Cultivated to High Intensity Developed,0,28,0,35,14,0,0,0,0,18,0,0,0,0,0,0,0,0,0
129,Cultivated to Medium Intensity Developed,1,44,0,95,192,0,0,0,2,59,0,0,0,10,0,0,0,0,0
130,Cultivated to Low Intensity Developed,1,18,0,111,145,0,0,0,0,26,0,0,3,35,0,0,0,0,0
131,Cultivated to Developed Open Space,0,8,0,107,55,0,0,0,0,61,0,0,0,50,0,0,0,0,0
132,Cultivated to Cultivated,29920,1875,6073,227034,10392,271,2165,0,92593,16052,0,121188,25641,9060,11613,184,22896,3864,630
133,Cultivated to Pasture/Hay,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,Cultivated to Grassland,0,1,0,0,5,0,0,0,0,3,0,0,36,0,0,0,6,0,0
135,Cultivated to Deciduous Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Cultivated to Evergreen Forest,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Cultivated to Mixed Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Cultivated to Scrub/Shrub,0,0,0,22,1,0,0,0,15,22,0,0,162,0,0,0,0,0,0
139,Cultivated to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Cultivated to Palustrine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0
141,Cultivated to Palustrine Emergent Wetland,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
142,Cultivated to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Cultivated to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Cultivated to Estuarine Emergent Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
145,Cultivated to Unconsolidated Shore,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
146,Cultivated to Bare Land,0,2,0,4,0,0,0,0,26,56,0,0,7,0,0,0,0,0,0
147,Cultivated to Water,0,9,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0
148,Cultivated to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0
149,Cultivated to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Cultivated to Tundra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Cultivated to Snow/Ice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Pasture/Hay to Unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Pasture/Hay to High Intensity Developed,0,704,0,27,22,0,82,36,0,577,0,0,0,9,0,18,5,0,0
154,Pasture/Hay to Medium Intensity Developed,0,2208,0,55,59,0,213,47,4,907,0,0,1,30,0,38,9,1,0
155,Pasture/Hay to Low Intensity Developed,4,1751,0,37,19,0,140,53,1,755,0,0,4,204,7,19,13,2,0
156,Pasture/Hay to Developed Open Space,0,1570,0,148,90,0,169,38,0,566,0,0,8,345,9,15,33,21,0
157,Pasture/Hay to Cultivated,0,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
158,Pasture/Hay to Pasture/Hay,13934,53918,10809,17519,386,3,19425,2107,117879,73782,0,3378,37782,67201,57844,1438,11805,24207,10524
159,Pasture/Hay to Grassland,4,243,0,6,6,0,20,0,0,20,0,0,68,0,0,18,4,54,0
160,Pasture/Hay to Deciduous Forest,1,128,0,4,2,0,10,0,2,23,0,0,2,0,0,5,1,13,0
161,Pasture/Hay to Evergreen Forest,0,30,0,7,0,0,1,0,0,5,0,0,0,0,0,0,0,2,0
162,Pasture/Hay to Mixed Forest,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,3,0
163,Pasture/Hay to Scrub/Shrub,22,190,0,3,4,0,7,0,27,22,0,0,68,0,0,19,2,10,0
164,Pasture/Hay to Palustrine Forested Wetland,0,21,0,3,0,0,22,0,0,4,0,0,5,0,0,0,0,4,0
165,Pasture/Hay to Palustrine Scrub/Shrub Wetland,55,48,0,1,0,0,37,12,4,2,0,0,24,0,0,0,4,2,0
166,Pasture/Hay to Palustrine Emergent Wetland,228,56,0,3,6,0,43,5,2,1,0,0,70,0,0,38,87,150,0
167,Pasture/Hay to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Pasture/Hay to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Pasture/Hay to Estuarine Emergent Wetland,0,7,0,4,0,0,6,7,12,10,0,0,1,0,0,2,1,0,0
170,Pasture/Hay to Unconsolidated Shore,0,41,0,0,0,0,14,2,0,3,0,0,25,0,0,1,0,0,0
171,Pasture/Hay to Bare Land,0,157,0,39,9,0,22,3,0,257,0,0,0,4,0,16,24,2,0
172,Pasture/Hay to Water,0,82,0,0,0,0,0,5,4,40,0,0,11,0,0,0,0,0,0
173,Pasture/Hay to Palustrine Aquatic Bed,0,2,0,0,0,0,7,0,0,2,0,0,2,0,0,0,0,2,0
174,Pasture/Hay to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Pasture/Hay to Tundra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Pasture/Hay to Snow/Ice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Grassland to Unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Grassland to High Intensity Developed,0,137,0,27,47,0,28,28,0,65,0,0,16,0,0,20,10,0,0
179,Grassland to Medium Intensity Developed,0,446,0,50,60,12,35,20,0,267,1,0,33,0,0,54,56,0,0
180,Grassland to Low Intensity Developed,7,231,0,45,92,13,16,27,0,96,23,0,23,2,0,77,99,0,0
181,Grassland to Developed Open Space,2,218,0,73,53,44,9,8,0,48,162,0,2,7,0,33,53,1,0
182,Grassland to Cultivated,0,1,0,66,6,0,8,0,0,20,0,0,0,0,0,0,1,0,0
183,Grassland to Pasture/Hay,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
184,Grassland to Grassland,24133,23486,774,13326,35085,15763,28102,7083,17032,19425,127150,46115,38771,8149,13836,23894,36990,21172,3593
185,Grassland to Deciduous Forest,2,15,5,1,5,0,1,0,1,4,0,0,0,3,37,9,8,5,0
186,Grassland to Evergreen Forest,0,2,0,0,0,0,0,0,0,3,0,0,0,3,26,0,0,0,0
187,Grassland to Mixed Forest,0,2,1,0,0,0,0,0,0,0,0,0,0,11,27,0,0,0,0
188,Grassland to Scrub/Shrub,18,38,1,32,92,0,5,0,10,0,0,0,37,463,3,38,14,7,0
189,Grassland to Palustrine Forested Wetland,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
190,Grassland to Palustrine Scrub/Shrub Wetland,48,0,0,0,1,0,1,0,1,0,0,0,0,30,0,0,62,0,0
191,Grassland to Palustrine Emergent Wetland,283,4,0,0,0,0,10,0,0,0,0,0,31,0,0,2,17,6,0
192,Grassland to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Grassland to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Grassland to Estuarine Emergent Wetland,17,1,0,0,3,0,0,0,0,0,0,0,0,0,0,9,2,0,0
195,Grassland to Unconsolidated Shore,0,6,0,3,2,0,1,1,0,0,0,0,17,0,0,1,7,0,0
