OBJECTID,LABEL,ALFM,ALGS,FLAB,FLAC,FLAL,FLBA,FLBC,FLBI,FLCB,FLCE,FLCK,FLCO,FLCR,FLDB,FLDC,FLDT,FLFD,FLFG,FLFL,FLFM,FLFP,FLJA,FLJD,FLKD,FLKL,FLKW,FLLK,FLLO,FLMI,FLMT,FLNA,FLNP,FLNR,FLPE,FLPI,FLPR,FLPS,FLSA,FLSB,FLSC,FLSM,FLSP,FLSR,FLST,FLTA,FLTT,FLVE,FLWP
1,Background,207982,460860,0,0,0,0,0,0,0,0,0,0,0,0,0,13210,127242,0,0,0,0,0,0,0,0,0,0,0,0,1313,10514,0,0,0,0,0,0,20016,0,115615,0,0,0,0,0,0,1092,0
2,Unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Developed, High ",0,380,5443,273,6208,19637,9610,435,11285,23,70,10406,2679,8302,71845,0,953,1380,47212,9203,8430,12790,3834,19092,983,5322,622,0,1254,691,11471,18365,16425,14119,3132,5102,358,3398,903,687,132,35277,21316,9125,58666,2038,8173,17438
4,"Developed, Medium",0,1181,35875,1097,35905,62344,31857,483,27261,123,432,37680,10335,27040,106803,0,5109,8912,128744,42080,25111,23332,23980,64915,3471,11738,3963,4,3254,4913,41138,77491,69323,31113,19407,27272,3057,12546,7639,2527,745,98097,70440,34092,106787,14453,33610,99674
5,"Developed, Low",0,2726,112462,4865,46912,83533,60664,674,53253,417,2217,58743,50440,64503,112173,0,3159,50901,171620,125671,70102,51948,54464,167725,4106,8599,7133,263,9267,17125,72089,85470,56563,67254,59852,68433,11356,36151,31088,7953,4625,121091,77014,95545,121011,16724,43524,137119
6,"Developed, Open Space",0,638,69371,2898,39369,43333,41912,262,33478,342,595,30076,41020,38095,22506,0,359,40835,59106,51107,43994,26440,32301,54809,1433,4840,3032,2045,4425,6200,45810,35539,29892,42324,43278,51548,5184,20551,23406,3883,2298,28392,41382,60485,58804,7501,24183,79978
7,Cultivated Crops ,0,24,3,120,81889,17345,191,0,5622,0,148,1385,0,128,0,110,0,12305,1335,510,112960,12,40027,288,0,0,0,89,244,124,901,0,0,32,2912,5004,92,201,45454,0,5986,0,5651,11410,0,26628,2907,25996
8,Pasture/Hay,0,83,15442,75,45048,17912,2036,0,1094,0,3613,9813,19793,4948,0,36,0,12042,1081,1221,20378,2770,15478,0,0,0,0,0,981,1227,1444,3917,13059,1351,17822,16863,200,3178,27384,0,1382,4,27050,5125,1715,172,13744,640
9,Grasslands/Herbaceous ,0,850,7653,1639,14917,6431,3222,209,12026,34,9067,5073,9719,13617,831,35,1316,24410,1627,2023,7572,8663,4370,1181,147,443,561,11458,3637,13760,2144,2247,4264,10260,10358,6112,3714,8669,9361,761,12632,819,6348,3476,4024,2245,7322,2907
10,Deciduous Forest,0,40,4551,87,2192,49,41,477,189,0,10,62,3425,140,25,0,3,144,12,76,370,343,117,144,2,0,0,2919,341,805,40,371,1715,387,97,64,50,946,93,3,15408,26,281,158,815,10,1641,19
11,Evergreen Forest,0,1381,76477,35872,19976,2923,50635,1404,93735,49,50612,11822,99439,84029,4035,1,211,144286,3091,4569,16093,70180,15859,21706,38,73,21,14371,10725,121730,4269,28730,29180,24522,130045,10266,36956,59086,19949,259,129391,4838,12241,13117,20675,452,19772,1338
12,Mixed Forest,0,0,3364,375,644,360,468,6,509,4,61,1518,2505,626,146,0,18,1239,200,166,922,2771,486,826,0,12,13,2144,790,3073,105,1922,2253,651,907,774,197,3196,2245,0,43214,585,791,879,2154,21,557,21
13,Scrub/Shrub,0,1426,23810,4981,24668,3744,25356,110,17252,27,18916,5143,25740,44884,1552,2,484,40484,2039,2666,7539,15712,6889,4209,11,70,170,15534,9695,49310,1181,8233,30094,4018,29978,9462,20383,28099,18798,161,25414,3609,8990,2951,6647,1559,27189,1470
14,Palustrine Forested Wetland ,0,251,61916,63947,80330,63075,56663,6967,9745,152,74606,43779,114650,40779,5270,49,764,81274,35017,22140,73756,33343,118733,16770,3438,1098,12418,26059,64788,57685,97495,54896,83195,13634,52232,42700,131652,61591,129298,11435,79156,12472,41125,77093,64289,49948,54664,43794
15,Palustrine Scrub/Shrub Wetland,0,79,5336,9048,26290,12783,12579,883,1436,16,7552,17148,6095,60973,2721,43,390,36880,9131,3309,17073,4401,28091,4462,234,562,2635,18331,17861,18043,9479,8092,10433,7735,12613,21131,37990,5457,51780,1727,19323,3390,11945,13813,6459,12746,23784,8200
16,Palustrine Emergent Wetland ,0,90,7143,18686,11727,8716,5142,7586,873,3,17974,30336,3000,49166,2047,84,332,28108,26828,5645,14201,4135,35112,4267,79,72,876,358432,15787,19503,17607,6088,8709,7719,20248,28838,12607,6479,32476,1665,18689,4701,10809,17208,8698,16591,20893,18399
17,Estuarine Forested Wetland,0,0,501,2068,6335,23684,0,23478,0,160204,729,11941,1246,10,5666,31,3200,0,576,69740,12679,198,5447,9513,15551,19419,29976,2642,26140,160,29798,9357,4982,0,0,32363,0,21,7500,25215,51,16440,3672,12140,2454,174841,4538,383
18,Estuarine Scrub/Shrub Wetland ,0,42,132,16,1171,3160,1060,3232,335,21884,38,12577,1698,577,1811,7,691,173,182,3583,919,1115,744,1686,1572,1819,2195,4042,48771,199,4814,764,577,185,6397,7709,1096,16,556,1322,28,1926,283,1518,529,19154,721,103
19,Estuarine Emergent Wetland,0,776,25473,26199,3372,7087,22223,5991,4109,14030,72233,14247,71065,7281,3534,23,1471,4534,775,8686,813,96150,1514,651,5564,12293,20707,43641,55977,21441,4638,8095,14701,11966,16529,8961,13519,26770,2249,2646,60560,3147,1324,3189,1544,17374,3330,1022
20,Unconsolidated Shore ,0,1075,0,4911,116,38,2372,5,1912,4,19329,260,0,2363,188,4,39,885,31,75,264,3337,397,0,398,5,8,0,254,3823,99,162,22,3605,4155,34,3377,2242,157,32,8724,28,30,292,124,143,14,378
21,Bare Land ,0,1154,1877,6146,2504,325,6109,66,6668,0,777,1754,1746,4503,1404,150,2551,2549,539,692,2100,9413,2766,69,1,335,267,0,927,4937,1612,1892,1374,1817,4691,1052,5020,6379,2685,485,3195,1657,763,2074,194,1516,1614,3852
22,Open Water,0,29330,45497,319073,52691,118434,170153,322779,221558,240151,223383,183289,37653,50416,139711,469575,340600,11018,13103,137435,63255,135328,111703,65096,440822,369841,386361,392,215696,156313,145455,143463,106082,259299,66564,158351,215116,196100,89312,276108,71438,164548,159814,137031,36635,137285,207861,59593
23,Palustrine Aquatic Bed ,0,4,37,0,110,229,2,21,8,0,0,284,22,0,58,0,3,0,120,133,40,0,46,30,10,56,81,2,259,0,87,100,216,6,0,205,1,0,49,25,11,94,67,148,120,74,133,52
24,Estuarine Aquatic Bed ,0,8,4,0,10,7231,99,127299,21,64890,0,15035,85,0,20049,18997,13484,0,8,11638,3816,0,30,50746,24527,65762,31338,0,11310,0,190,7174,840,394,0,125,430,0,0,13561,0,1247,1043,1500,0,921,1108,9
